http://www.tightpoker.com/hands/ev_position.html

Cards	SB	BB	3	4	5	6	7	8	9	D
AA 	2.71 	2.82 	2.49 	2.52 	2.74 	2.78 	2.80 	2.74 	2.88 	2.96
KK 	1.89 	1.73 	1.72 	1.69 	1.58 	1.91 	2.02 	1.95 	1.95 	2.10
QQ 	1.19 	1.23 	1.30 	1.19 	1.20 	1.22 	1.24 	1.20 	1.49 	1.36
JJ 	0.68 	0.63 	0.84 	0.66 	0.85 	0.76 	0.90 	1.02 	1.01 	0.87
TT 	0.37 	0.35 	0.45 	0.52 	0.43 	0.42 	0.45 	0.54 	0.50 	0.56
99 	0.17 	0.16 	0.33 	0.14 	0.31 	0.34 	0.26 	0.26 	0.26 	0.23
88 	0.11 	0.08 	0.20 	0.07 	0.15 	0.19 	0.16 	0.26 	0.21 	0.26
77 	-0.07 	-0.01 	0.04 	0.11 	0.08 	0.15 	0.09 	0.19 	0.17 	0.15
66 	-0.01 	-0.07 	-0.01 	0.08 	0.21 	0.14 	0.05 	-0.02 	0.06 	0.14
55 	-0.02 	-0.11 	0.02 	-0.01 	-0.04 	-0.00 	-0.00 	-0.04 	-0.00 	0.08
44 	0.05 	-0.10 	-0.09 	-0.06 	-0.01 	0.11 	0.02 	0.02 	-0.06 	-0.04
33 	-0.10 	-0.16 	-0.06 	-0.03 	-0.02 	-0.04 	-0.00 	0.07 	-0.04 	0.04
22 	-0.11 	-0.10 	-0.11 	-0.02 	-0.05 	0.03 	0.03 	-0.06 	-0.01 	-0.12
AK 	0.42 	0.42 	0.47 	0.41 	0.55 	0.51 	0.50 	0.56 	0.59 	0.62
AK s 	0.68 	0.79 	0.78 	0.92 	0.85 	0.83 	0.87 	0.82 	1.03 	1.00
AQ 	0.18 	0.16 	0.20 	0.30 	0.21 	0.32 	0.26 	0.33 	0.31 	0.37
AQ s 	0.59 	0.51 	0.51 	0.59 	0.54 	0.49 	0.70 	0.66 	0.66 	0.64
AJ 	0.03 	0.11 	0.03 	0.10 	0.10 	0.07 	0.16 	0.09 	0.20 	0.15
AJ s 	0.43 	0.27 	0.28 	0.41 	0.40 	0.44 	0.50 	0.52 	0.56 	0.49
AT 	-0.08 	-0.04 	-0.07 	-0.02 	0.01 	0.01 	-0.01 	0.03 	-0.01 	0.06
AT s 	0.20 	0.24 	0.28 	0.23 	0.23 	0.40 	0.28 	0.26 	0.31 	0.47
A9 	-0.21 	-0.18 	-0.08 	-0.11 	-0.13 	-0.07 	-0.09 	-0.12 	-0.10 	-0.03
A9 s 	0.17 	0.05 	0.24 	0.07 	0.14 	0.12 	0.21 	0.20 	0.20 	0.20
A8 	-0.21 	-0.28 	-0.18 	-0.08 	-0.10 	-0.09 	-0.08 	-0.17 	-0.06 	-0.09
A8 s 	-0.02 	-0.13 	0.12 	0.03 	0.18 	0.07 	0.08 	0.03 	0.11 	0.15
A7 	-0.22 	-0.26 	-0.14 	-0.12 	-0.11 	-0.12 	-0.15 	-0.10 	-0.10 	-0.05
A7 s 	-0.06 	-0.05 	0.03 	0.13 	-0.01 	0.09 	0.27 	0.10 	0.01 	0.07
A6 	-0.29 	-0.27 	-0.18 	-0.15 	-0.12 	-0.11 	-0.13 	-0.10 	-0.13 	-0.10
A6 s 	0.01 	-0.15 	-0.14 	0.05 	-0.04 	0.01 	0.06 	-0.04 	0.01 	0.01
A5 	-0.25 	-0.30 	-0.12 	-0.15 	-0.12 	-0.15 	-0.12 	-0.11 	-0.08 	-0.12
A5 s 	0.13 	0.02 	0.09 	0.06 	-0.02 	0.08 	0.02 	0.02 	0.19 	0.18
A4 	-0.26 	-0.30 	-0.12 	-0.11 	-0.15 	-0.13 	-0.08 	-0.10 	-0.10 	-0.10
A4 s 	-0.03 	-0.06 	0.03 	0.04 	0.06 	0.05 	0.19 	0.03 	0.18 	0.08
A3 	-0.28 	-0.34 	-0.17 	-0.11 	-0.12 	-0.12 	-0.09 	-0.11 	-0.12 	-0.10
A3 s 	-0.12 	0.02 	-0.06 	0.07 	0.10 	-0.08 	-0.08 	0.12 	0.01 	0.04
A2 	-0.28 	-0.35 	-0.16 	-0.14 	-0.15 	-0.15 	-0.13 	-0.09 	-0.06 	-0.14
A2 s 	-0.12 	-0.14 	-0.01 	-0.03 	0.06 	0.03 	0.03 	-0.10 	0.00 	0.12
KQ 	0.02 	-0.01 	0.05 	0.16 	0.08 	0.09 	0.13 	0.15 	0.15 	0.17
KQ s 	0.38 	0.18 	0.40 	0.31 	0.35 	0.28 	0.41 	0.45 	0.39 	0.42
KJ 	-0.08 	-0.16 	-0.02 	-0.02 	-0.03 	-0.04 	0.05 	0.01 	0.08 	0.06
KJ s 	0.17 	0.12 	0.15 	0.28 	0.32 	0.22 	0.23 	0.28 	0.28 	0.40
KT 	-0.20 	-0.16 	-0.08 	-0.09 	-0.05 	-0.06 	-0.05 	-0.04 	0.01 	0.07
